,bebidas
0,3514467.398
1,3344456.931
2,3290739.324
3,3253288.237
4,2869437.411
5,3103589.599
6,3325398.656
7,3261204.283
8,3488952.968
9,3928861.098
10,4297207.188
11,6640857.416
12,4222218.455
13,4356546.199
14,4597365.962
15,4218613.157
16,3737570.423
17,4276518.982
18,4329776.746
19,4440944.929
20,4915662.834
21,5367369.586
22,5999482.305
23,9591843.13
24,5940722.933
25,5900970.591
26,5901419.921
27,5437459.685
28,5258910.248
29,5602884.226
30,5612874.218
31,6069725.944
32,6372597.214
33,7475899.072
34,8816995.301
35,13299621.48
36,8727149.313
37,8876881.394
38,8284935.993
39,7039345.747
40,7437048.077
41,7839895.916
42,8048539.859
43,8262233.877
44,8164340.136
45,9900033.946
46,11401050.5
47,19000862.43
48,12982834.1
49,12129210.03
50,12468763.32
51,6840101.6
52,10758291.66
53,11744001.5
54,13755772.37
55,13762712.18
56,14164245.34
57,17838460.22
58,18180428.41
60,20364496.48
61,20067560.91
62,19759206.71
63,20641687.4
64,18583941.03
