,electronicos_articulos_hogar
0,1838507.096
1,1257661.903
2,1305674.917
3,1535726.345
4,1824462.036
5,1893542.062
6,1995091.144
7,1882133.804
8,1673423.55
9,2404158.327
10,2729390.081
11,2857322.674
12,1999948.566
13,1781739.856
14,2049351.786
15,2169127.423
16,3356541.379
17,3509590.741
18,2294925.164
19,2037255.936
20,1853671.983
21,2543612.937
22,2437736.317
23,2850608.7
24,2193855.693
25,2065592.427
26,2294642.27
27,2005702.657
28,2486484.832
29,2810683.083
30,3030760.221
31,3073567.951
32,2719800.957
33,4712825.328
34,4829969.163
35,4638017.913
36,3768285.224
37,3407081.45
38,3460494.399
39,3758966.101
40,5705563.465
41,5726204.196
42,6125265.839
43,5086198.952
44,4776635.482
45,3215054.7
46,7962443.79
47,7711912.075
48,3215054.7
49,5106560.634
50,6918341.604
51,6042114.412
52,7849584.393
53,9514178.631
54,9222787.62
55,8443256.2
56,7977185.494
57,10919887.99
61,9189746.139
62,10898787.99
63,3215054.7
